Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank
"['rock-and-roll', 'classic girl group', 'brill building pop', 'motown']",1963,91
['novelty'],1963,92
"['doo-wop', 'philly soul', 'motown', 'rhythm and blues', 'beach music']",1963,93
"['traditional country', 'western swing']",1963,94
['soul blues'],1963,95
[],1963,96
"['outlaw country', 'classic country pop']",1963,97
"['rockabilly', 'rock-and-roll']",1963,98
['american folk revival'],1963,99
[],1963,100
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,1
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,2
"['swing', 'soul', 'adult standards', 'new orleans jazz', 'jazz trumpet', 'dixieland', 'vocal jazz', 'harlem renaissance']",1964,3
"['folk rock', 'singer-songwriter', 'rock-and-roll', 'adult standards', 'classic rock', 'mellow gold', 'rockabilly']",1964,4
"['folk rock', 'rock', 'psychedelic rock', 'classic rock', 'mellow gold', 'sunshine pop', 'baroque pop']",1964,5
"['vocal jazz', 'easy listening', 'lounge', 'adult standards']",1964,6
"['classic soul', 'soul', 'motown']",1964,7
['karaoke'],1964,8
[],1964,9
"['disco', 'classic girl group', 'soul', 'motown']",1964,10
"['operatic pop', 'adult standards']",1964,11
"['new orleans jazz', 'jazz trumpet', 'dixieland', 'easy listening', 'space age pop']",1964,12
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,13
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,14
"['classic rock', 'british invasion', 'singer-songwriter', 'british blues']",1964,15
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,16
"['soul', 'classic girl group', 'classic soul', 'motown']",1964,17
"['british invasion', 'merseybeat']",1964,18
[],1964,19
"['doo-wop', 'rock-and-roll', 'adult standards', 'rockabilly', 'soul']",1964,20
"['classic girl group', 'doo-wop', 'rock-and-roll']",1964,21
"['classic oklahoma country', 'deep adult standards']",1964,22
"['british invasion', 'merseybeat']",1964,23
"['lounge', 'doo-wop', 'rock-and-roll', 'northern soul', 'adult standards', 'rockabilly', 'bubblegum pop']",1964,24
"['lounge', 'doo-wop', 'rock-and-roll', 'northern soul', 'adult standards', 'rockabilly', 'bubblegum pop']",1964,25
['northern soul'],1964,26
"['rock-and-roll', 'adult standards', 'rockabilly', 'merseybeat', 'brill building pop']",1964,27
"['folk rock', 'doo-wop', 'rock-and-roll', 'surf music', 'classic garage rock', 'rockabilly', 'bubblegum pop', 'merseybeat', 'sunshine pop']",1964,28
"['doo-wop', 'rock-and-roll', 'classic garage rock', 'bubblegum pop', 'merseybeat']",1964,29
"['beatlesque', 'british invasion', 'british blues']",1964,30
['british invasion'],1964,31
['american folk revival'],1964,32
"['disco', 'classic girl group', 'soul', 'motown']",1964,33
"['classic soul', 'doo-wop', 'philly soul', 'motown', 'southern soul', 'rhythm and blues', 'chicago soul', 'soul']",1964,34
"['british invasion', 'soul', 'adult standards']",1964,35
"['classic girl group', 'bubblegum pop', 'brill building pop']",1964,36
"['disco', 'quiet storm', 'soft rock', 'adult standards', 'vocal jazz', 'soul', 'brill building pop']",1964,37
"['rock', 'british invasion', 'protopunk', 'psychedelic rock', 'classic rock', 'album rock', 'hard rock']",1964,38
"['classic garage rock', 'surf music']",1964,39
"['rock', 'british invasion', 'beatlesque', 'psychedelic rock', 'classic rock', 'merseybeat']",1964,40
['bubblegum pop'],1964,41
['deep adult standards'],1964,42
"['classic garage rock', 'bubblegum pop', 'surf music']",1964,43
"['classic soul', 'doo-wop', 'southern soul', 'rhythm and blues', 'chicago soul']",1964,44
"['british invasion', 'merseybeat']",1964,45
['jamaican ska'],1964,46
"['chicago soul', 'northern soul']",1964,47
